MSSubClass,LotArea,YearBuilt,TotalBsmtSF,KitchenAbvGr,TotRmsAbvGrd,GarageArea,SalePrice,MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,LotConfig_CulDSac,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_Sawyer,Neighborhood_StoneBr,Neighborhood_Veenker
60,8450,2003,856,1,8,548,208500,0,0,1,0,0,0,0,0,0,0,0,0,0
20,9600,1976,1262,1,6,460,181500,0,0,1,0,0,0,0,0,0,0,0,0,1
60,11250,2001,920,1,6,608,223500,0,0,1,0,0,0,0,0,0,0,0,0,0
70,9550,1915,756,1,7,642,140000,0,0,1,0,0,1,0,0,0,0,0,0,0
60,14260,2000,1145,1,9,836,250000,0,0,1,0,0,0,0,0,1,0,0,0,0
50,14115,1993,796,1,5,480,143000,0,0,1,0,0,0,0,0,0,0,0,0,0
20,10084,2004,1686,1,7,636,307000,0,0,1,0,0,0,0,0,0,0,0,0,0
60,10382,1973,1107,1,7,484,200000,0,0,1,0,0,0,0,1,0,0,0,0,0
50,6120,1931,952,2,8,468,129900,0,0,0,1,0,0,0,0,0,0,0,0,0
190,7420,1939,991,2,5,205,118000,0,0,1,0,0,0,0,0,0,0,0,0,0
20,11200,1965,1040,1,5,384,129500,0,0,1,0,0,0,0,0,0,0,1,0,0
60,11924,2005,1175,1,11,736,345000,0,0,1,0,0,0,0,0,0,1,0,0,0
20,12968,1962,912,1,4,352,144000,0,0,1,0,0,0,0,0,0,0,1,0,0
20,10652,2006,1494,1,7,840,279500,0,0,1,0,0,0,0,0,0,0,0,0,0
20,10920,1960,1253,1,5,352,157000,0,0,1,0,0,0,0,0,0,0,0,0,0
45,6120,1929,832,1,5,576,132000,0,0,0,1,0,0,0,0,0,0,0,0,0
20,11241,1970,1004,1,5,480,149000,0,0,1,0,1,0,0,0,0,0,0,0,0
90,10791,1967,0,2,6,516,90000,0,0,1,0,0,0,0,0,0,0,1,0,0
20,13695,2004,1114,1,6,576,159000,0,0,1,0,0,0,0,0,0,0,0,0,0
20,7560,1958,1029,1,6,294,139000,0,0,1,0,0,0,0,0,0,0,0,0,0
60,14215,2005,1158,1,9,853,325300,0,0,1,0,0,0,0,0,0,1,0,0,0
45,7449,1930,637,1,6,280,139400,0,0,0,1,0,0,0,0,0,0,0,0,0
20,9742,2002,1777,1,7,534,230000,0,0,1,0,0,0,0,0,0,0,0,0,0
120,4224,1976,1040,1,6,572,129900,0,0,0,1,0,0,0,0,0,0,0,0,0
20,8246,1968,1060,1,6,270,154000,0,0,1,0,0,0,0,0,0,0,1,0,0
20,14230,2007,1566,1,7,890,256300,0,0,1,0,0,0,0,0,0,1,0,0,0
20,7200,1951,900,1,5,576,134800,0,0,1,0,0,0,0,0,0,0,0,0,0
20,11478,2007,1704,1,7,772,306000,0,0,1,0,0,0,0,0,0,1,0,0,0
20,16321,1957,1484,1,6,319,207500,0,0,1,0,1,0,0,0,0,0,0,0,0
30,6324,1927,520,1,4,240,68500,0,0,0,1,0,0,0,0,0,0,0,0,0
70,8500,1920,649,1,6,250,40000,0,0,0,0,0,0,0,0,0,0,0,0,0
20,8544,1966,1228,1,6,271,149350,0,0,1,0,1,0,0,0,0,0,1,0,0
20,11049,2007,1234,1,7,484,179900,0,0,1,0,0,0,0,0,0,0,0,0,0
20,10552,1959,1398,1,6,447,165500,0,0,1,0,0,0,0,0,0,0,0,0,0
120,7313,2005,1561,1,6,556,277500,0,0,1,0,0,0,0,0,0,1,0,0,0
60,13418,2004,1117,1,9,691,309000,0,0,1,0,0,0,0,0,0,1,0,0,0
20,10859,1994,1097,1,6,672,145000,0,0,1,0,0,0,0,0,0,0,0,0,0
20,8532,1954,1297,1,5,498,153000,0,0,1,0,0,0,0,0,0,0,0,0,0
20,7922,1953,1057,1,5,246,109000,0,0,1,0,0,0,0,0,0,0,0,0,0
90,6040,1955,0,2,6,0,82000,0,0,1,0,0,0,1,0,0,0,0,0,0
20,8658,1965,1088,1,6,440,160000,0,0,1,0,0,0,0,0,0,0,0,0,0
20,16905,1959,1350,1,5,308,170000,0,0,1,0,0,0,0,0,0,0,0,0,0
85,9180,1983,840,1,5,504,144000,0,0,1,0,1,0,0,0,0,0,0,0,0
20,9200,1975,938,1,5,308,130250,0,0,1,0,1,0,0,0,0,0,0,0,0
20,7945,1959,1150,1,6,300,141000,0,0,1,0,0,0,0,0,0,0,0,0,0
120,7658,2005,1752,1,6,576,319900,0,0,1,0,0,0,0,0,0,1,0,0,0
50,12822,2003,1434,1,6,670,239686,0,0,1,0,1,0,0,0,0,0,0,0,0
20,11096,2006,1656,1,7,826,249700,1,0,0,0,0,0,0,0,0,0,0,0,0
190,4456,1920,736,3,8,0,113000,0,0,0,1,0,0,0,0,0,0,0,0,0
20,7742,1966,955,1,6,386,127000,0,0,1,0,0,0,0,0,0,0,1,0,0
60,13869,1997,794,1,6,388,177000,0,0,1,0,0,0,0,0,0,0,0,0,0
50,6240,1934,816,1,6,528,114500,0,0,0,1,0,0,0,0,0,0,0,0,0
90,8472,1963,816,1,5,516,110000,0,0,0,1,0,0,0,0,0,0,0,0,0
20,50271,1981,1842,1,5,894,385000,0,0,1,0,0,0,0,0,0,0,0,0,1
80,7134,1955,384,1,6,572,130000,0,0,1,0,0,0,0,0,0,0,0,0,0
20,10175,1964,1425,1,7,576,180500,0,0,1,0,0,0,0,0,0,0,0,0,0
160,2645,1999,970,1,7,480,172500,1,0,0,0,0,0,0,0,0,0,0,0,0
60,11645,2004,860,1,7,565,196500,0,0,1,0,0,0,0,0,0,0,0,0,0
60,13682,2006,1410,1,10,641,438780,0,0,1,0,1,0,0,0,0,0,0,1,0
20,7200,1972,780,1,4,352,124900,0,0,1,0,0,0,0,0,0,0,0,0,0
20,13072,2004,1158,1,5,576,158000,0,0,1,0,0,0,0,0,0,0,0,0,0
75,7200,1920,530,1,6,288,101000,0,0,0,1,0,0,0,0,0,0,0,0,0
120,6442,2006,1370,1,6,484,202500,0,0,1,0,0,0,0,0,0,1,0,0,0
70,10300,1921,576,1,9,480,140000,0,0,0,1,0,0,0,0,0,0,0,0,0
60,9375,1997,1057,1,8,645,219500,0,0,1,0,0,0,0,0,0,0,0,0,0
60,9591,2004,1143,1,9,852,317000,0,0,1,0,0,0,0,0,0,1,0,0,0
20,19900,1970,1947,1,7,576,180000,0,0,1,0,0,0,0,0,0,0,0,0,0
20,10665,2003,1453,1,7,558,226000,0,0,1,0,0,0,0,0,0,0,0,0,0
30,4608,1945,747,1,4,220,80000,0,0,0,1,0,0,0,0,0,0,0,0,0
50,15593,1953,1304,1,7,667,225000,0,0,1,0,0,0,0,0,0,0,0,0,0
20,13651,1973,2223,1,8,516,244000,0,0,1,0,0,0,0,0,0,0,0,0,0
20,7599,1982,845,1,4,360,129500,0,0,1,0,0,0,0,0,0,0,0,0,0
60,10141,1998,832,1,7,427,185000,0,0,1,0,0,0,0,0,0,0,0,0,0
20,10200,1954,1086,1,6,490,144900,0,0,1,0,0,0,0,0,0,0,0,0,0
50,5790,1915,840,2,8,379,107400,0,0,0,1,0,0,0,0,0,0,0,0,0
180,1596,1973,462,1,5,297,91000,0,0,0,1,0,0,0,0,0,0,0,0,0
20,8475,1956,952,1,4,283,135750,0,0,1,0,0,0,0,0,0,0,0,0,0
50,8635,1948,672,1,6,240,127000,0,0,0,1,0,0,0,0,0,0,0,0,0
90,10778,1968,1768,2,8,0,136500,0,0,1,0,0,0,0,0,0,0,1,0,0
50,10440,1910,440,1,5,440,110000,0,0,0,1,0,0,0,0,0,0,0,0,0
60,13000,1968,896,1,8,509,193500,0,0,1,0,0,0,0,0,0,0,0,0,0
120,4500,1998,1237,1,5,405,153500,0,0,0,1,0,0,0,0,0,0,0,0,0
20,10206,2007,1563,1,6,758,245000,0,0,1,0,0,0,0,0,0,0,0,0,0
20,8892,1960,1065,1,6,461,126500,0,0,1,0,0,0,0,0,0,0,0,0,0
80,8530,1995,384,1,7,400,168500,0,0,1,0,0,0,0,0,0,0,0,0,0
60,16059,1991,1288,1,9,462,260000,0,0,1,0,0,0,0,0,1,0,0,0,0
60,11911,2005,684,1,6,400,174000,0,0,1,0,0,0,0,0,0,0,0,0,0
160,3951,2009,612,1,4,528,164500,1,0,0,0,0,0,0,0,0,0,0,0,0
50,8470,1915,1013,1,6,0,85000,0,0,0,0,0,0,0,0,0,0,0,0,0
20,8070,1994,990,1,5,0,123600,0,0,1,0,0,0,0,0,0,0,0,0,0
20,7200,1950,0,1,4,420,109900,0,0,1,0,0,0,0,0,0,0,0,0,0
20,8500,1961,1235,1,6,480,98600,0,0,1,0,0,0,0,0,0,0,0,0,0
30,13360,1921,876,1,5,432,163500,0,0,1,0,0,1,0,0,0,0,0,0,0
190,7200,1910,1214,2,9,506,133900,0,0,0,0,0,0,0,0,0,0,0,0,0
60,9337,1997,824,1,7,684,204750,0,0,1,0,0,0,0,0,0,0,0,0,0
60,9765,1993,680,1,6,420,185000,0,0,1,0,0,0,0,0,0,0,0,0,0
20,10264,1999,1588,1,6,472,214000,0,0,1,0,0,0,0,0,0,0,0,0,0
20,10921,1965,960,1,6,432,94750,0,0,1,0,0,0,1,0,0,0,0,0,0
30,10625,1920,458,1,5,366,83000,0,0,1,0,0,0,1,0,0,0,0,0,0
20,9320,1959,950,1,6,0,128950,0,0,1,0,0,0,0,0,0,0,0,0,0
20,10603,1977,1610,1,6,480,205000,0,0,1,0,0,0,0,1,0,0,0,0,0
60,9206,1985,741,1,7,476,178000,0,0,1,0,0,0,0,0,0,0,0,0,0
90,7018,1979,0,2,8,410,118964,0,0,1,0,0,0,0,0,0,0,0,0,0
20,10402,2009,1226,1,6,740,198900,0,0,1,0,0,0,0,0,0,0,0,0,0
50,7758,1931,1040,1,7,240,169500,0,0,0,1,0,0,0,0,0,0,0,0,0
60,9375,2003,1053,1,9,648,250000,1,0,0,0,0,0,0,0,0,0,0,0,0
30,10800,1885,641,1,6,273,100000,0,0,0,1,0,0,0,0,0,0,0,0,0
20,6000,1948,789,1,5,250,115000,0,0,0,1,0,0,0,0,0,0,0,0,0
50,8500,1919,793,1,7,0,115000,0,0,0,1,0,0,0,0,0,0,0,0,0
20,11751,1977,1844,1,7,546,190000,0,0,1,0,0,0,0,1,0,0,0,0,0
50,9525,1954,994,1,7,325,136900,0,0,1,0,0,0,1,0,0,0,0,0,0
80,7750,2000,384,1,7,400,180000,0,0,1,0,0,0,0,0,0,0,0,0,0
60,9965,2007,1264,1,10,792,383970,0,0,1,0,0,0,0,0,0,0,0,0,0
20,21000,1953,1809,1,7,450,217000,0,0,1,0,0,1,0,0,0,0,0,0,0
70,7259,1945,1028,1,9,180,259500,0,0,1,0,0,1,0,0,0,0,0,0,0
160,3230,1999,729,1,5,440,176000,1,0,0,0,0,0,0,0,0,0,0,0,0
20,11616,1962,1092,1,6,288,139000,0,0,1,0,0,0,0,0,0,0,1,0,0
20,8536,2006,1125,1,5,430,155000,0,0,1,0,0,0,1,0,0,0,0,0,0
60,12376,1990,1673,1,11,594,320000,0,0,1,0,0,0,0,0,0,0,0,0,0
60,8461,2005,728,1,8,390,163990,0,0,1,0,0,0,0,0,0,0,0,0,0
80,21453,1969,938,1,4,540,180000,0,0,1,0,1,0,0,0,0,0,0,0,0
50,6060,1939,732,1,4,264,100000,0,0,0,1,0,0,0,0,0,0,0,0,0
20,9464,1958,1080,1,5,288,136000,0,0,1,0,0,0,0,0,0,0,0,0,0
120,7892,1993,1199,1,5,530,153900,0,0,1,0,0,0,0,0,0,0,0,0,0
20,17043,1979,1362,1,7,435,181000,0,0,1,0,1,0,0,1,0,0,0,0,0
190,6780,1935,520,1,5,0,84500,0,0,0,1,0,0,0,0,0,0,0,0,0
120,4928,1976,1078,1,5,440,128000,0,0,1,0,0,0,0,0,0,0,0,0,0
45,4388,1930,672,1,5,0,87000,0,0,0,1,0,0,0,0,0,0,0,0,0
60,7590,1966,660,1,6,453,155000,0,0,1,0,0,0,0,0,0,0,0,0,0
20,8973,1958,1008,1,6,750,150000,0,0,1,0,0,0,0,0,0,0,0,0,0
60,14200,1966,924,1,8,487,226000,0,0,1,0,0,0,0,0,0,0,0,0,0
60,12224,2000,992,1,7,390,244000,0,0,1,0,0,0,0,0,0,0,0,0,0
20,7388,1959,1063,1,7,624,150750,0,0,1,0,0,0,0,0,0,0,0,0,0
20,6853,2001,1267,1,6,471,220000,0,0,1,0,0,0,0,0,0,0,0,0,0
20,10335,1968,1461,1,7,440,180000,0,0,1,0,0,0,0,0,0,0,1,0,0
20,10400,1970,1304,1,7,530,174000,0,0,1,0,0,0,0,1,0,0,0,0,0
20,10355,1967,1214,1,5,318,143000,0,0,1,0,0,0,0,0,0,0,0,0,0
90,11070,1988,1907,2,9,766,171000,0,0,1,0,0,0,0,0,0,0,0,0,0
60,9066,1999,1004,1,7,660,230000,0,0,1,0,0,0,0,0,0,0,0,0,0
60,15426,1997,928,1,7,470,231500,0,0,1,0,0,0,0,0,0,0,0,0,0
20,10500,1971,864,1,5,0,115000,0,0,1,0,0,0,0,0,0,0,0,0,0
20,11645,2005,1734,1,7,660,260000,0,0,1,0,0,0,0,0,0,0,0,0,0
50,8520,1952,910,1,6,720,166000,0,0,1,0,0,0,0,0,0,0,0,0,0
20,10335,1999,1490,1,6,577,204000,0,0,1,0,0,0,0,0,0,0,0,0,0
90,9100,1963,1728,2,10,504,125000,0,0,0,1,0,0,0,0,0,0,1,0,0
160,2522,2004,970,1,7,380,130000,0,0,0,1,0,0,1,0,0,0,0,0,0
30,6120,1931,715,1,5,180,105000,0,0,0,1,0,0,0,0,0,0,0,0,0
60,9505,2001,884,1,8,434,222500,0,0,1,0,1,0,0,0,0,0,0,0,0
20,7500,2004,1080,1,6,0,141000,0,0,1,0,0,0,0,0,0,0,0,0,0
50,6240,1936,896,1,7,240,115000,0,0,0,1,0,0,0,0,0,0,0,0,0
20,10356,1975,969,1,5,440,122000,0,0,1,0,0,0,0,0,0,0,0,0,0
20,13891,2007,1710,1,6,866,372402,0,0,1,0,0,0,0,0,0,1,0,0,0
60,14803,1971,825,1,8,495,190000,0,0,1,0,1,0,0,1,0,0,0,0,0
20,13500,1960,1602,1,4,564,235000,0,0,1,0,0,0,0,0,0,0,0,0,0
30,11340,1923,1200,1,7,312,125000,0,0,0,1,0,0,0,0,0,0,0,0,0
50,9600,1924,572,1,5,0,79000,0,0,1,0,0,0,1,0,0,0,0,0,0
20,7200,1950,0,1,5,625,109500,0,0,1,0,0,0,0,0,0,0,0,0,0
60,12003,2009,774,1,8,680,269500,0,0,1,0,0,0,0,0,0,0,0,0,0
60,12552,2004,991,1,8,678,254900,1,0,0,0,0,0,0,0,0,0,0,0,0
60,19378,2005,1392,1,9,576,320000,0,0,1,0,0,0,0,0,0,0,0,0,0
20,11120,1984,1232,1,6,516,162500,0,0,1,0,1,0,0,0,0,0,0,0,1
60,13688,2003,1572,1,10,726,412500,0,0,1,0,0,0,0,0,0,1,0,0,0
20,12182,2005,1541,1,7,532,220000,0,0,1,0,0,0,0,0,0,1,0,0,0
45,5500,1956,882,1,4,0,103200,0,0,1,0,0,0,0,0,0,0,0,0,0
40,5400,1926,1149,1,5,216,152000,0,0,0,1,0,0,0,0,0,0,0,0,0
190,10106,1940,644,2,6,0,127500,0,0,1,0,0,0,1,0,0,0,0,0,0
20,10708,1955,1617,1,7,303,190000,0,0,1,0,0,0,0,0,0,0,0,0,0
60,10562,2007,1582,1,8,789,325624,0,0,1,0,0,0,0,0,0,1,0,0,0
60,8244,2004,840,1,7,440,183500,0,0,1,0,0,0,0,0,0,0,0,0,0
20,16669,1981,1686,1,6,511,228000,0,0,1,0,0,0,0,0,0,0,0,0,0
50,12358,1941,720,1,7,660,128500,0,0,0,1,0,0,0,0,0,0,0,0,0
20,31770,1960,1080,1,7,528,215000,0,0,1,0,0,0,0,0,0,0,0,0,0
160,5306,1987,1064,1,5,504,239000,0,0,1,0,0,0,0,0,0,0,0,1,0
20,10197,1961,1362,1,6,504,163000,0,0,1,0,0,0,0,0,0,0,0,0,0
20,12416,1986,1606,1,7,616,184000,0,0,1,0,0,0,0,0,0,0,0,0,0
20,12615,1950,1202,1,7,576,243000,0,0,1,0,0,0,1,0,0,0,0,0,0
60,10029,1988,1151,1,8,521,211000,0,0,1,0,0,0,0,0,0,0,0,0,0
50,13650,1958,1052,1,8,451,172500,0,0,1,0,0,0,0,0,0,0,1,0,0
20,17423,2008,2216,1,9,1166,501837,0,0,1,0,1,0,0,0,0,0,0,1,0
30,8520,1923,968,1,5,480,100000,0,0,0,1,0,0,0,0,0,0,0,0,0
160,2117,2000,756,1,5,440,177000,1,0,0,0,0,0,0,0,0,0,0,0,0
70,7588,1920,793,1,9,216,200100,0,0,1,0,0,1,0,0,0,0,0,0,0
20,9060,1957,0,1,7,252,120000,0,0,1,0,0,0,1,0,0,0,0,0,0
50,11426,2003,1362,1,6,484,200000,0,0,0,1,0,0,0,0,0,0,0,0,0
50,7438,1908,504,1,5,576,127000,0,0,1,0,0,0,0,0,0,0,0,0,0
75,22950,1892,1107,1,12,840,475000,0,0,0,1,0,0,0,0,0,0,0,0,0
80,9947,1990,1188,1,6,497,173000,0,0,1,0,1,0,0,0,0,0,0,0,0
50,10410,1916,660,1,8,180,135000,0,0,1,0,0,0,0,0,0,0,0,0,0
90,7018,1979,1086,2,6,528,153337,0,0,1,0,0,0,0,0,0,0,0,0,0
120,4923,2001,1593,1,5,682,286000,0,0,1,0,0,0,0,0,0,0,0,1,0
70,10570,1932,853,1,10,440,315000,0,0,1,0,0,1,0,0,0,0,0,0,0
60,7472,1972,725,1,7,484,184000,0,0,1,0,1,0,0,0,0,0,0,0,0
20,9017,1999,1431,1,6,666,192000,0,0,1,0,0,0,0,0,0,0,0,0,0
160,2522,2004,970,1,7,380,130000,0,0,0,1,0,0,1,0,0,0,0,0,0
20,7180,1972,864,1,5,352,127000,0,0,1,0,0,0,0,0,0,0,0,0,0
160,2280,1976,855,1,7,440,148500,0,0,1,0,0,0,0,0,0,0,0,0,0
20,9416,2007,1726,1,8,786,311872,0,0,1,0,0,0,0,0,0,0,0,0,0
75,25419,1918,1360,1,8,795,235000,0,0,1,0,0,0,0,0,0,0,0,0,0
75,5520,1912,755,1,8,0,104000,0,0,0,1,0,0,0,0,0,0,0,0,0
20,9591,2004,1713,1,7,856,274900,0,0,1,0,0,0,0,0,0,1,0,0,0
20,8546,2003,1121,1,5,440,140000,0,0,0,1,0,0,1,0,0,0,0,0,0
20,10125,1977,1196,1,6,473,171500,0,0,1,0,0,0,0,0,0,0,0,0,0
50,7000,1924,617,1,6,398,112000,0,0,1,0,0,0,0,0,0,0,0,0,0
120,4438,2004,848,1,3,420,149000,0,0,0,1,0,0,0,0,0,0,0,0,0
50,3500,1947,720,1,5,240,110000,0,0,0,1,0,0,0,0,0,0,0,0,0
20,11851,1990,1424,1,5,500,180500,0,0,1,0,0,0,0,0,0,0,0,0,0
20,13673,1962,1140,1,8,349,143900,0,0,1,0,1,0,0,0,0,0,1,0,0
20,12493,1960,1100,1,6,312,141000,0,0,1,0,0,0,0,0,0,0,0,0,0
60,14364,1988,1157,1,7,454,277000,0,0,1,0,0,0,0,0,0,0,0,0,0
20,8250,1964,1092,1,6,504,145000,0,0,1,0,0,0,0,0,0,0,0,0,0
30,5604,1925,864,1,5,0,98000,0,0,1,0,0,0,1,0,0,0,0,0,0
20,10420,2009,1212,1,6,460,186000,0,0,1,0,0,0,1,0,0,0,0,0,0
60,8640,2009,900,1,7,644,252678,1,0,0,0,0,0,0,0,0,0,0,0,0
20,13568,1995,990,1,5,576,156000,0,0,1,0,1,0,0,0,0,0,0,0,0
60,10900,1977,689,1,6,299,161750,0,0,1,0,0,0,0,0,0,0,0,0,0
20,10011,1957,1070,1,6,447,134450,0,0,1,0,0,0,0,0,0,0,0,0,0
20,8450,2004,1436,1,8,484,210000,0,0,1,0,0,0,0,0,0,0,0,0,0
70,9906,1925,686,1,8,210,107000,0,0,0,1,0,0,0,0,0,0,0,0,0
50,15660,1939,798,1,8,431,311500,0,0,1,0,0,1,0,0,0,0,0,0,0
120,3010,2005,1248,1,5,438,167240,0,0,1,0,0,0,0,0,0,0,0,0,0
20,8990,2006,1498,1,5,675,204900,0,0,1,0,0,0,0,0,0,0,0,0,0
60,8068,2002,1010,1,8,390,200000,0,0,1,0,0,0,0,0,0,0,0,0,0
60,11475,1975,713,1,6,434,179900,0,0,1,0,0,0,0,1,0,0,0,0,0
20,10500,1971,864,1,4,576,97000,0,0,1,0,0,0,0,0,0,0,0,0,0
20,13472,2003,2392,1,8,968,386250,0,0,1,0,0,0,0,0,0,1,0,0,0
160,1680,1971,630,1,6,280,112000,0,0,0,1,0,0,0,0,0,0,0,0,0
60,9950,1995,1203,1,9,721,290000,0,0,1,0,0,0,0,0,1,0,0,0,0
160,1869,1970,483,1,5,280,106000,0,0,0,1,0,0,0,0,0,0,0,0,0
20,8521,1967,912,1,5,336,125000,0,0,1,0,0,0,0,0,0,0,1,0,0
120,3182,2005,1373,1,7,430,192500,0,0,1,0,0,0,0,0,0,0,0,0,0
20,8760,1959,1194,1,6,312,148000,0,0,1,0,0,0,0,0,0,0,0,0,0
60,15138,1995,1462,1,9,810,403000,0,0,1,0,0,0,0,0,1,0,0,0,0
160,1680,1972,483,1,5,288,94500,0,0,0,1,0,0,0,0,0,0,0,0,0
20,10650,1976,894,1,5,308,128200,0,0,1,0,0,0,0,0,0,0,0,0,0
60,7851,2002,860,1,8,440,216500,0,0,1,0,0,0,0,0,0,0,0,0,0
160,1680,1971,483,1,5,264,89500,0,0,0,1,0,0,0,0,0,0,0,0,0
20,8773,2004,1414,1,6,494,185500,0,0,1,0,0,0,0,0,0,0,0,0,0
60,9453,1993,996,1,7,457,194500,0,0,1,0,1,0,0,0,0,0,0,0,0
